LAT;LNG;ID;OBJETO;TIPO;NOMBRE;DIAS;OBSERVACIO;DIRECCION;CALLE;CRUCE;DIREC_NORM;DIREC_ARCG;BARRIO;COMUNA
-34.591758817220331;-58.447900087896059;14;FERIA;MANUALIDADES Y ANTIGÜEDADES;PARQUE LOS ANDES;SABADO, DOMINGOS Y FERIADOS;;CORRIENTES Y DORREGO;CORRIENTES AV.;DORREGO AV.;CORRIENTES AV. Y DORREGO AV.;CORRIENTES AV. & DORREGO AV.;CHACARITA;15
-34.589652682620887;-58.450172003651311;23;FERIA;ANTIGÜEDADES;MERCADO DE LAS PULGAS;MARTES A DOMINGO;;DORREGO Y CONCEPCION ARENAL;CORRIENTES AV.;ARENAL, CONCEPCION;CORRIENTES AV. Y ARENAL, CONCEPCION;CORRIENTES AV. & ARENAL, CONCEPCION;CHACARITA;15
-34.604590108765215;-58.436079553500335;6;FERIA;MANUALIDADES Y ANTIGÜEDADES;PASEO CENTENARIO;SABADO, DOMINGOS Y FERIADOS;;PATRICIAS ARGENTINA Y MACHADO;PATRICIAS ARGENTINAS AV.;MACHADO, ANTONIO;PATRICIAS ARGENTINAS AV. Y MACHADO, ANTONIO;PATRICIAS ARGENTINAS AV. & MACHADO, ANTONIO;CABALLITO;6
-34.620821789678871;-58.44169232444748;19;FERIA;LIBROS USADOS;PLAZOLETA 1º JUNTA;MARTES A DOMINGO;;RIVADAVIA Y DEL BARCO CENTENERA;RIVADAVIA AV.;BARCO CENTENERA DEL;RIVADAVIA AV. Y BARCO CENTENERA DEL;RIVADAVIA AV. & BARCO CENTENERA DEL;CABALLITO;6
-34.608277067729134;-58.436778323590396;26;FERIA;ARTESANIAS;FERIA PARQUE CENTENARIO;SABADO, DOMINGOS Y FERIADOS;;AV. DIAZ VELEZ Y CAMPICHUELO;DIAZ VELEZ AV.;CAMPICHUELO;DIAZ VELEZ AV. Y CAMPICHUELO;DIAZ VELEZ AV. & CAMPICHUELO;CABALLITO;6
-34.607247143200645;-58.437803535040182;18;FERIA;LIBROS USADOS;PARQUE CENTENARIO;MARTES A DOMINGO;;PASAJE LILLO Y LEOPOLDO MARECHAL;LILLO AV.;MARECHAL, LEOPOLDO;LILLO AV. Y MARECHAL, LEOPOLDO;LILLO AV. & MARECHAL, LEOPOLDO;CABALLITO;6
-34.618867020741824;-58.434355278665784;22;FERIA;LIBROS USADOS, ANTIGÜEDADES, FILATELIA Y NUMISMATICA;PARQUE RIVADAVIA;MARTES A DOMINGO;;RIVADAVIA Y BEAUCHEF;ROSARIO;BEAUCHEF;ROSARIO Y BEAUCHEF;ROSARIO & BEAUCHEF;CABALLITO;6
-34.637520942685839;-58.406639897661925;11;FERIA;MANUALIDADES Y ANTIGÜEDADES;PASEO PARQUE PATRICIOS;SABADO, DOMINGOS Y FERIADOS;;A. CASEROS Y ALMAFUERTE;CASEROS AV.;ALMAFUERTE AV.;CASEROS AV. Y ALMAFUERTE AV.;CASEROS AV. & ALMAFUERTE AV.;PARQUE PATRICIOS;4
-34.63774711026182;-58.405726519083153;20;FERIA;LIBROS USADOS;PARQUE DE LOS PATRICIOS;MARTES A DOMINGO;;AV. CASEROS Y MONTEAGUDO;CASEROS AV.;MONTEAGUDO;CASEROS AV. Y MONTEAGUDO;CASEROS AV. & MONTEAGUDO;PARQUE PATRICIOS;4
-34.660123958221099;-58.502773430800708;3;FERIA;MANUALIDADES Y ANTIGÜEDADES;PASEO ALBERDI;SABADO, DOMINGOS Y FERIADOS;;LISANDRO DE LA TORRE Y DIRECTORIO;DE LA TORRE, LISANDRO AV.;DIRECTORIO AV.;DE LA TORRE, LISANDRO AV. Y DIRECTORIO AV.;DE LA TORRE, LISANDRO AV. & DIRECTORIO AV.;MATADEROS;9
